"id","iso_639_1","iso_639_2","iso_639_3","rfc_3066","english_name","english_name_locale","english_name_modifier","native_name","native_name_locale","native_name_modifier","macro_language","direction","pluralization","scope"

15,"aa","aar","aar",,"Afar",,,,,,0,"ltr",,"L"
33,"ab","abk","abk",,"Abkhazian",,,"аҧсуа бызшәа",,,0,"ltr",,"L"
114,"af","afr","afr",,"Afrikaans",,,"Afrikaans",,,0,"ltr",,"L"
191,"ak","aka","aka",,"Akan",,,,,,1,"ltr",,"L"
247,"am","amh","amh",,"Amharic",,,"አማርኛ",,,0,"ltr",,"L"
340,"ar","ara","ara",,"Arabic",,,"العربية",,,1,"rtl",,"L"
346,"an","arg","arg",,"Aragonese",,,,,,0,"ltr",,"L"
376,"as","asm","asm",,"Assamese",,,,,,0,"ltr",,"L"
438,"av","ava","ava",,"Avaric",,,,,,0,"ltr",,"L"
441,"ae","ave","ave",,"Avestan",,,,,,0,"ltr",,"A"
483,"ay","aym","aym",,"Aymara",,,,,,1,"ltr",,"L"
496,"az","aze","aze",,"Azerbaijani",,,"azərbaycan",,,1,"ltr",,"L"
512,"ba","bak","bak",,"Bashkir",,,,,,0,"ltr",,"L"
514,"bm","bam","bam",,"Bambara",,,"Bamanankan",,,0,"ltr",,"L"
614,"be","bel","bel",,"Belarusian",,,"Беларуская",,,0,"ltr",,"L"
616,"bn","ben","ben",,"Bengali",,,,,,0,"ltr",,"L"
721,"bi","bis","bis",,"Bislama",,,,,,0,"ltr",,"L"
860,"bo","bod","bod",,"Tibetan",,,,,,0,"ltr",,"L"
875,"bs","bos","bos",,"Bosnian",,,,,,0,"ltr",,"L"
936,"br","bre","bre",,"Breton",,,,,,0,"ltr",,"L"
1020,"bg","bul","bul",,"Bulgarian",,,"Български",,,0,"ltr",,"L"
1177,"ca","cat","cat",,"Catalan",,,"Català",,,0,"ltr",,"L"
1233,"cs","ces","ces",,"Czech",,,"čeština",,,0,"ltr","c%10==1 && c%100!=11 ? 1 : c%10>=2 && c%10<=4 && (c%100<10 || c%100>=20) ? 2 : 3","L"
1242,"ch","cha","cha",,"Chamorro",,,,,,0,"ltr",,"L"
1246,"ce","che","che",,"Chechen",,,,,,0,"ltr",,"L"
1261,"cu","chu","chu",,"Slavic",,"Church",,,,0,"ltr",,"A"
1262,"cv","chv","chv",,"Chuvash",,,,,,0,"ltr",,"L"
1372,"kw","cor","cor",,"Cornish",,,,,,0,"ltr",,"L"
1373,"co","cos","cos",,"Corsican",,,,,,0,"ltr",,"L"
1397,"cr","cre","cre",,"Cree",,,,,,1,"ltr",,"L"
1481,"cy","cym","cym",,"Welsh",,,"Cymraeg",,,0,"ltr",,"L"
1499,"da","dan","dan",,"Danish",,,"Dansk",,,0,"ltr","c == 1 ? 1 : 2","L"
1556,"de","deu","deu",,"German",,,"Deutsch",,,0,"ltr","c == 1 ? 1 : 2","L"
1607,"dv","div","div",,"Divehi",,,,,,0,"ltr",,"L"
1760,"dz","dzo","dzo",,"Dzongkha",,,,,,0,"ltr",,"L"
1793,"el","ell","ell",,"Greek",,"Modern (1453-)","Ελληνικά",,,0,"ltr","c == 1 ? 1 : 2","L"
1819,"en","eng","eng",,"English",,,,,,0,"ltr","c == 1 ? 1 : 2","L"
1831,"eo","epo","epo",,"Esperanto",,,,,,0,"ltr","c == 1 ? 1 : 2","C"
1851,"et","est","est",,"Estonian",,,"Eesti",,,0,"ltr","c == 1 ? 1 : 2","L"
1865,"eu","eus","eus",,"Basque",,,"euskera",,,0,"ltr",,"L"
1869,"ee","ewe","ewe",,"Ewe",,,"Ɛʋɛ",,,0,"ltr",,"L"
1886,"fo","fao","fao",,"Faroese",,,,,,0,"ltr",,"L"
1889,"fa","fas","fas",,"Persian",,,"فارسی",,,1,"ltr",,"L"
1901,"fj","fij","fij",,"Fijian",,,,,,0,"ltr",,"L"
1903,"fi","fin","fin",,"Finnish",,,"suomi",,,0,"ltr","c == 1 ? 1 : 2","L"
1930,"fr","fra","fra",,"French",,,"Français",,,0,"ltr","c == 1 ? 1 : 2","L"
1942,"fy","fry","fry",,"Frisian",,,,,,1,"ltr",,"L"
1954,"ff","ful","ful",,"Fulah",,,"Fulfulde, Pulaar, Pular",,,1,"ltr",,"L"
2112,"gd","gla","gla",,"Gaelic","Scots",,,,,0,"ltr","c==1 ? 1 : c==2 ? 2 : 3","L"
2115,"ga","gle","gle",,"Irish",,,"Gaeilge",,,0,"ltr","c==1 ? 1 : c==2 ? 2 : 3","L"
2116,"gl","glg","glg",,"Gallegan",,,"Galego",,,0,"ltr",,"L"
2125,"gv","glv","glv",,"Manx",,,,,,0,"ltr",,"E"
2194,"gn","grn","grn",,"Guarani",,,,,,1,"ltr",,"L"
2226,"gu","guj","guj",,"Gujarati",,,,,,0,"ltr",,"L"
2304,"ht","hat","hat",,"Haitian; Haitian Creole",,,,,,0,"ltr",,"L"
2305,"ha","hau","hau",,"Hausa",,,"Hausa",,,0,"ltr",,"L"
2315,"sh",,"hbs",,"Serbo-Croatian",,,,,,1,"ltr",,"L"
2323,"he","heb","heb",,"Hebrew",,,"עברית",,,0,"rtl","c == 1 ? 1 : 2","L"
2329,"hz","her","her",,"Herero",,,,,,0,"ltr",,"L"
2343,"hi","hin","hin",,"Hindi",,,"हिंदी",,,0,"ltr",,"L"
2370,"ho","hmo","hmo",,"Hiri Motu",,,,,,0,"ltr",,"L"
2418,"hr","hrv","hrv",,"Croatian",,,"Hrvatski",,,0,"ltr","c%10==1 && c%100!=11 ? 1 : c%10>=2 && c%10<=4 && (c%100<10 || c%100>=20) ? 2 : 3","L"
2443,"hu","hun","hun",,"Hungarian",,,"Magyar",,,0,"ltr","c = 1","L"
2466,"hy","hye","hye",,"Armenian",,,"Հայերեն",,,0,"ltr",,"L"
2480,"ig","ibo","ibo",,"Igbo",,,,,,0,"ltr",,"L"
2494,"io","ido","ido",,"Ido",,,,,,0,"ltr",,"C"
2519,"ii","iii","iii",,"Yi",,"Sichuan",,,,0,"ltr",,"L"
2532,"iu","iku","iku",,"Inuktitut",,,,,,1,"ltr",,"L"
2539,"ie","ile","ile",,"Interlingue",,,,,,0,"ltr",,"C"
2556,"ia","ina","ina",,"Interlingua","International Auxiliary Language Association",,,,,0,"ltr",,"C"
2558,"id","ind","ind",,"Indonesian",,,"Bahasa indonesia",,,0,"ltr",,"L"
2574,"ik","ipk","ipk",,"Inupiaq",,,,,,1,"ltr",,"L"
2593,"is","isl","isl",,"Icelandic",,,"Íslenska",,,0,"ltr",,"L"
2600,"it","ita","ita",,"Italian",,,"italiano",,,0,"ltr","c == 1 ? 1 : 2","L"
2652,"jv","jav","jav",,"Javanese",,,,,,0,"ltr",,"L"
2723,"ja","jpn","jpn",,"Japanese",,,"日本語",,,0,"ltr","c = 1","L"
2763,"kl","kal","kal",,"Kalaallisut",,,,,,0,"ltr",,"L"
2765,"kn","kan","kan",,"Kannada",,,"ಕನ್ನಡ",,,0,"ltr",,"L"
2769,"ks","kas","kas",,"Kashmiri",,,,,,0,"ltr",,"L"
2770,"ka","kat","kat",,"Georgian",,,,,,0,"ltr",,"L"
2771,"kr","kau","kau",,"Kanuri",,,,,,1,"ltr",,"L"
2776,"kk","kaz","kaz",,"Kazakh",,,"Қазақ",,,0,"ltr",,"L"
2939,"km","khm","khm",,"Khmer",,,,,,0,"ltr",,"L"
2963,"ki","kik","kik",,"Kikuyu",,,,,,0,"ltr",,"L"
2966,"rw","kin","kin",,"Kinyarwanda",,,"Kinyarwanda",,,0,"ltr",,"L"
2970,"ky","kir","kir",,"Kirghiz",,,"Кыргыз",,,0,"ltr",,"L"
3117,"kv","kom","kom",,"Komi",,,,,,1,"ltr",,"L"
3118,"kg","kon","kon",,"Kongo",,,,,,1,"ltr",,"L"
3122,"ko","kor","kor",,"Korean",,,"한국어",,,0,"ltr","c = 1","L"
3260,"kj","kua","kua",,"Kuanyama",,,,,,0,"ltr",,"L"
3276,"ku","kur","kur",,"Kurdish",,,,,,1,"ltr",,"L"
3428,"lo","lao","lao",,"Lao",,,,,,0,"ltr",,"L"
3433,"la","lat","lat",,"Latin",,,,,,0,"ltr",,"A"
3435,"lv","lav","lav",,"Latvian",,,"Latviešu",,,0,"ltr","c%10==1 && c%100!=11 ? 1 : c != 0 ? 2 : 3","L"
3546,"li","lim","lim",,"Limburgish",,"Limburger",,,,0,"ltr",,"L"
3547,"ln","lin","lin",,"Lingala",,,,,,0,"ltr",,"L"
3553,"lt","lit","lit",,"Lithuanian",,,"Lietuviškai",,,0,"ltr","c%10==1 && c%100!=11 ? 1 : c%10>=2 && (c%100<10 || c%100>=20) ? 2 : 3","L"
3687,"lb","ltz","ltz",,"Letzeburgesch",,,,,,0,"ltr",,"L"
3689,"lu","lub","lub",,"Luba-Katanga",,,,,,0,"ltr",,"L"
3694,"lg","lug","lug",,"Ganda",,,,,,0,"ltr",,"L"
3732,"mh","mah","mah",,"Marshall",,,,,,0,"ltr",,"L"
3736,"ml","mal","mal",,"Malayalam",,,,,,0,"ltr",,"L"
3740,"mr","mar","mar",,"Marathi",,,,,,0,"ltr",,"L"
