"id","type","tr_key","table_name","item_id","facet","language_id","text","pluralization_index"
3611,"ViewTranslation","Sunday [weekday]","",,"",114,"Sondag",1
3612,"ViewTranslation","Monday [weekday]","",,"",114,"Maandag",1
3613,"ViewTranslation","Tuesday [weekday]","",,"",114,"Dinsdag",1
3614,"ViewTranslation","Wednesday [weekday]","",,"",114,"Woensdag",1
3615,"ViewTranslation","Thursday [weekday]","",,"",114,"Donderdag",1
3616,"ViewTranslation","Friday [weekday]","",,"",114,"Vrydag",1
3617,"ViewTranslation","Saturday [weekday]","",,"",114,"Saterdag",1
3618,"ViewTranslation","Sun [abbreviated weekday]","",,"",114,"So",1
3619,"ViewTranslation","Mon [abbreviated weekday]","",,"",114,"Ma",1
3620,"ViewTranslation","Tue [abbreviated weekday]","",,"",114,"Di",1
3621,"ViewTranslation","Wed [abbreviated weekday]","",,"",114,"Wo",1
3622,"ViewTranslation","Thu [abbreviated weekday]","",,"",114,"Do",1
3623,"ViewTranslation","Fri [abbreviated weekday]","",,"",114,"Vr",1
3624,"ViewTranslation","Sat [abbreviated weekday]","",,"",114,"Sa",1
3625,"ViewTranslation","January [month]","",,"",114,"Januarie",1
3626,"ViewTranslation","February [month]","",,"",114,"Februarie",1
3627,"ViewTranslation","March [month]","",,"",114,"Maart",1
3628,"ViewTranslation","April [month]","",,"",114,"April",1
3629,"ViewTranslation","May [month]","",,"",114,"Mei",1
3630,"ViewTranslation","June [month]","",,"",114,"Junie",1
3631,"ViewTranslation","July [month]","",,"",114,"Julie",1
3632,"ViewTranslation","August [month]","",,"",114,"Augustus",1
3633,"ViewTranslation","September [month]","",,"",114,"September",1
3634,"ViewTranslation","October [month]","",,"",114,"Oktober",1
3635,"ViewTranslation","November [month]","",,"",114,"November",1
3636,"ViewTranslation","December [month]","",,"",114,"Desember",1
3637,"ViewTranslation","Jan [abbreviated month]","",,"",114,"Jan",1
3638,"ViewTranslation","Feb [abbreviated month]","",,"",114,"Feb",1
3639,"ViewTranslation","Mar [abbreviated month]","",,"",114,"Mar",1
3640,"ViewTranslation","Apr [abbreviated month]","",,"",114,"Apr",1
3641,"ViewTranslation","May [abbreviated month]","",,"",114,"Mei",1
3642,"ViewTranslation","Jun [abbreviated month]","",,"",114,"Jun",1
3643,"ViewTranslation","Jul [abbreviated month]","",,"",114,"Jul",1
3644,"ViewTranslation","Aug [abbreviated month]","",,"",114,"Aug",1
3645,"ViewTranslation","Sep [abbreviated month]","",,"",114,"Sep",1
3646,"ViewTranslation","Oct [abbreviated month]","",,"",114,"Okt",1
3647,"ViewTranslation","Nov [abbreviated month]","",,"",114,"Nov",1
3648,"ViewTranslation","Dec [abbreviated month]","",,"",114,"Des",1
3649,"ViewTranslation","Sunday [weekday]","",,"",247,"እሑድ",1
3650,"ViewTranslation","Monday [weekday]","",,"",247,"ሰኞ",1
3651,"ViewTranslation","Tuesday [weekday]","",,"",247,"ማክሰኞ",1
3652,"ViewTranslation","Wednesday [weekday]","",,"",247,"ረቡዕ",1
3653,"ViewTranslation","Thursday [weekday]","",,"",247,"ሐሙስ",1
3654,"ViewTranslation","Friday [weekday]","",,"",247,"ዓርብ",1
3655,"ViewTranslation","Saturday [weekday]","",,"",247,"ቅዳሜ",1
3656,"ViewTranslation","Sun [abbreviated weekday]","",,"",247,"እሑድ",1
3657,"ViewTranslation","Mon [abbreviated weekday]","",,"",247,"ሰኞ ",1
3658,"ViewTranslation","Tue [abbreviated weekday]","",,"",247,"ማክሰ",1
3659,"ViewTranslation","Wed [abbreviated weekday]","",,"",247,"ረቡዕ",1
